leftSensorData,rightSensorData,leftMotorData,rightMotorData
,,,
385,588,593,576
431,565,578,573
471,497,536,552
466,341,419,461
941,207,297,385
399,122,197,250
369,590,459,373
370,589,537,468
370,590,569,523
370,590,576,545
370,590,584,566
370,590,588,576
370,590,582,572
370,590,584,576
370,590,588,582
370,590,582,575
370,590,583,576
370,590,588,584
370,590,583,577
370,590,582,576
370,590,588,584
370,590,584,578
370,590,581,575
370,590,588,583
370,590,585,580
370,590,580,574
370,590,587,582
370,590,586,581
370,590,580,573
370,590,586,580
370,590,587,581
370,590,580,572
370,589,585,579
370,590,588,582
370,590,581,573
368,590,584,577
365,592,590,584
363,593,584,576
363,593,586,579
361,594,594,588
356,596,588,581
353,597,588,581
355,597,596,592
354,598,592,586
353,598,589,583
353,598,597,592
349,599,594,589
346,599,589,582
343,600,598,592
339,600,596,591
338,600,590,583
338,600,597,591
338,600,597,592
339,599,589,582
338,599,595,589
339,599,598,592
340,599,590,582
340,599,593,586
341,599,599,593
341,599,590,583
340,599,592,586
341,599,599,595
341,598,592,586
341,598,591,585
342,598,598,594
341,597,592,587
342,597,589,583
343,596,596,593
343,596,592,588
343,596,586,581
343,595,594,590
342,595,592,588
342,595,585,579
342,595,592,588
342,595,592,587
342,595,585,578
342,595,591,585
343,596,594,589
343,596,586,579
343,597,591,584
343,597,596,591
343,597,588,581
343,597,591,584
343,598,598,593
343,598,590,584
343,597,590,584
344,597,598,594
344,597,592,587
345,598,590,584
347,597,598,594
349,598,594,589
352,599,589,583
353,601,599,594
354,603,598,593
355,604,593,586
358,607,603,597
368,609,605,599
383,608,598,591
390,604,602,597
391,601,602,598
394,599,591,586
392,596,592,587
381,594,595,591
373,597,588,581
368,604,594,586
362,610,606,599
359,611,601,593
356,611,603,595
357,612,612,607
356,614,607,601
350,610,603,597
341,602,606,603
334,595,595,593
330,594,587,583
331,599,597,593
329,605,599,593
324,604,593,586
326,601,600,595
321,605,601,595
305,609,597,587
293,611,606,598
286,611,609,602
288,615,604,595
287,624,614,605
275,627,624,614
263,620,613,605
250,614,611,605
223,612,615,610
212,615,607,600
219,618,610,603
239,609,613,611
256,597,598,597
252,590,588,587
237,602,599,596
239,605,598,592
249,611,599,591
280,606,606,603
315,611,606,603
331,615,603,597
323,600,604,601
318,600,599,597
341,608,595,589
357,600,599,595
357,593,596,593
352,596,586,581
379,589,587,585
403,600,596,592
376,580,578,574
362,575,574,571
382,586,584,580
394,581,574,569
374,568,567,563
378,565,569,568
383,543,548,550
392,500,515,525
397,434,472,494
400,377,413,441
376,338,362,388
355,280,318,347
362,199,247,285
357,112,163,206
341,65,115,156
347,59,99,125
326,56,96,103
300,55,100,103
293,53,96,100
299,53,93,91
302,52,97,96
295,52,96,98
290,52,92,89
290,52,96,93
284,52,98,100
276,52,92,92
271,52,95,92
274,52,100,101
280,52,94,96
286,52,95,92
296,52,100,101
301,51,95,98
296,52,94,90
283,52,99,98
272,52,95,96
259,52,92,88
247,52,96,93
237,52,96,97
226,52,91,88
219,52,95,92
222,52,98,100
227,52,92,92
236,52,96,93
250,52,100,102
260,52,94,97
267,52,95,93
273,51,100,102
275,52,95,97
279,52,94,91
284,51,99,98
284,51,95,97
285,52,92,89
286,51,96,94
286,51,96,98
289,51,91,89
289,51,95,92
290,51,98,100
291,52,92,92
288,52,95,92
285,52,100,101
282,52,94,95
277,52,95,91
274,52,100,100
294,52,95,98
334,52,94,92
329,51,98,98
332,52,95,99
334,52,93,88
340,53,97,94
331,55,97,98
300,58,94,89
282,63,103,95
325,127,137,126
345,214,179,155
346,284,239,204
366,358,310,272
399,399,360,319
424,467,415,373
422,515,477,439
412,514,495,466
422,516,500,482
423,543,526,509
390,521,521,510
363,523,515,502
379,501,508,506
419,474,490,493
407,487,478,475
395,476,476,477
402,447,459,464
418,467,454,451
417,479,466,458
414,437,452,453
409,403,417,421
394,347,373,388
384,322,347,367
408,311,317,332
384,249,273,292
338,165,215,246
328,97,144,180
335,66,103,134
361,61,105,124
350,57,96,107
326,55,96,97
347,55,102,106
349,53,95,101
318,52,94,90
288,52,99,97
297,51,95,96
315,52,92,89
300,51,99,94
292,51,95,96
286,51,91,87
252,52,95,90
239,52,97,98
230,51,92,90
220,51,95,91
211,51,99,100
206,51,94,94
210,52,95,92
235,52,100,102
213,52,95,96
214,52,97,90
238,52,99,99
246,52,95,98
249,52,92,89
253,52,97,95
254,52,96,98
261,52,92,90
289,52,96,95
292,52,98,102
288,52,92,93
271,52,96,92
282,53,100,102
281,53,96,95
270,52,95,91
269,53,101,101
304,53,96,99
323,53,95,93
314,53,100,99
302,54,96,97
319,56,95,91
323,57,99,97
316,61,100,101
321,83,108,100
356,121,131,120
362,200,178,158
332,289,238,197
342,334,290,251
330,371,342,310
363,410,376,344
384,436,406,380
348,468,444,418
336,478,460,437
374,496,477,455
397,506,497,482
360,500,498,485
342,492,484,476
358,492,491,489
378,489,486,485
367,491,479,473
365,478,482,476
359,455,465,466
357,448,446,448
367,437,439,442
389,418,428,435
377,399,402,406
360,399,397,398
349,395,401,398
344,368,373,375
341,350,357,363
340,340,349,356
357,329,331,337
385,307,313,320
387,275,295,307
358,280,282,284
337,263,264,267
336,217,244,255
341,233,232,239
348,245,232,233
353,246,243,242
357,248,244,241
348,254,244,234
336,273,262,253
348,284,277,265
365,292,275,265
371,311,297,287
375,311,304,296
376,310,299,290
366,321,311,301
360,317,317,310
351,319,312,302
351,333,321,311
358,330,330,326
353,341,328,320
345,344,334,326
342,336,339,335
336,360,345,335
340,365,354,341
343,363,362,355
333,384,370,362
337,387,372,363
341,394,389,382
349,412,399,389
356,409,397,387
361,418,414,403
361,434,423,412
367,438,423,413
378,461,445,433
373,481,465,451
367,487,469,452
343,513,494,475
346,525,515,496
362,539,520,502
355,546,535,519
348,548,544,533
345,556,542,533
362,556,547,539
380,560,558,552
357,563,555,543
353,569,558,548
368,574,573,564
375,580,570,562
362,581,571,564
340,580,578,573
346,581,576,571
372,583,573,566
369,583,582,577
354,579,579,571
351,577,568,562
369,580,577,575
374,583,577,573
359,583,571,563
342,584,579,571
347,585,583,576
358,590,580,569
342,589,584,575
329,589,588,584
335,586,577,571
347,581,577,572
349,583,583,579
352,583,575,569
359,581,577,569
344,574,578,575
334,569,567,566
344,572,564,561
354,576,575,572
350,578,571,565
344,576,567,561
343,586,584,574
356,594,586,577
361,596,583,577
355,596,592,587
351,593,591,586
364,596,585,578
376,594,592,587
371,589,591,584
362,584,577,571
369,582,580,578
383,580,579,577
369,580,570,564
342,577,572,565
346,577,577,573
364,577,571,563
354,576,570,563
333,577,577,574
335,577,569,563
349,577,569,565
349,577,577,573
341,581,573,567
341,584,576,565
348,587,585,579
342,591,584,579
319,593,581,573
310,594,592,586
319,595,591,586
321,596,585,578
313,595,595,586
312,595,592,587
314,594,584,579
319,591,588,584
325,586,587,585
328,582,575,571
329,577,575,572
330,573,577,572
329,569,562,558
326,564,563,558
326,563,564,562
323,559,553,551
319,555,550,546
315,553,554,552
310,551,548,541
308,550,543,538
305,550,553,547
306,549,545,541
309,552,542,539
308,552,549,546
307,549,545,541
312,548,539,534
319,549,547,543
316,546,546,539
313,543,535,529
318,543,541,539
328,541,539,537
328,542,532,526
322,543,538,532
317,543,541,535
321,544,536,526
322,546,539,532
313,548,547,543
304,551,540,532
309,555,546,538
312,552,553,548
303,557,548,540
287,562,555,543
284,567,564,557
287,565,559,554
283,570,559,551
271,575,572,565
272,578,571,564
279,575,566,560
282,575,577,570
283,581,576,570
287,585,573,567
291,584,580,576
301,585,581,578
309,588,576,568
319,588,584,578
328,589,589,580
336,586,577,570
346,585,581,578
344,586,584,580
337,582,574,569
341,583,577,571
346,585,584,580
344,587,580,570
341,587,580,572
336,586,586,584
335,590,580,574
340,595,583,578
339,596,593,588
329,593,587,581
327,593,586,577
336,597,595,590
338,598,593,590
328,596,586,580
322,594,593,590
331,596,592,587
336,598,586,579
322,595,594,586
317,595,592,587
324,596,586,581
331,596,591,586
315,596,594,588
309,595,586,578
326,597,591,585
328,595,597,590
308,595,586,578
304,597,590,584
326,597,596,593
326,596,588,584
307,596,589,582
301,596,597,592
316,595,592,585
334,597,589,584
330,599,600,595
309,595,590,586
320,597,587,584
350,600,597,594
357,600,596,591
339,603,593,583
342,601,599,594
358,600,600,593
364,602,592,584
353,603,599,594
344,600,598,593
347,600,590,583
346,594,591,586
333,595,595,589
323,600,591,582
313,592,587,582
323,600,598,595
308,601,590,583
287,594,590,583
285,601,600,593
298,602,595,588
301,609,600,590
278,612,609,602
264,608,603,599
289,610,600,595
307,614,612,607
288,619,612,604
276,618,608,599
291,619,620,611
296,623,618,612
278,624,613,606
255,624,620,614
244,625,621,616
244,623,613,606
224,622,619,612
202,618,621,612
213,612,607,601
202,609,607,605
205,607,611,607
196,603,595,594
172,601,597,591
200,594,598,599
197,592,587,584
134,591,586,580
143,586,588,586
200,581,577,579
180,579,572,569
165,579,580,579
164,579,573,568
179,577,570,565
185,578,580,573
145,578,573,567
132,581,573,562
162,582,581,576
157,578,579,574
149,577,567,562
159,584,580,577
151,583,580,575
147,578,570,567
159,577,574,571
163,580,577,574
165,584,574,564
170,579,576,570
177,575,579,573
188,583,571,564
167,582,576,568
168,581,580,575
186,581,573,569
169,579,572,566
168,580,579,578
184,584,574,568
183,580,573,567
176,581,583,576
172,583,577,571
175,580,575,567
184,584,583,578
177,585,583,576
167,584,574,568
161,583,583,581
166,582,579,576
186,582,572,570
187,585,580,575
175,583,580,574
177,581,574,565
181,583,580,574
178,585,584,576
178,586,575,567
185,589,585,578
178,583,583,579
181,589,578,573
183,592,582,575
180,586,587,585
198,599,585,577
197,597,589,581
181,596,599,590
194,605,595,587
192,601,596,586
185,604,604,598
181,609,604,597
168,604,597,591
162,605,606,604
152,601,598,594
153,599,591,589
170,601,599,596
195,598,596,594
210,609,597,589
212,607,603,597
218,611,608,598
200,614,602,591
187,614,612,604
204,608,608,603
190,602,597,591
176,604,598,593
181,608,607,602
184,611,599,591
152,609,603,596
136,603,604,599
153,597,592,588
159,590,590,584
133,589,592,589
149,596,590,581
169,608,596,587
134,602,605,598
131,591,589,586
129,579,578,579
108,566,574,576
112,575,571,571
86,608,583,571
85,618,607,594
152,624,617,605
142,620,609,599
154,612,616,612
194,611,610,609
265,604,600,600
330,598,598,601
396,602,600,604
357,599,589,584
431,607,599,595
395,589,596,590
338,633,607,590
335,602,602,596
391,615,612,608
380,591,592,592
348,606,596,590
394,594,600,599
430,547,564,571
313,550,548,548
397,557,557,562
366,515,526,532
442,481,494,508
390,446,469,484
371,424,439,453
392,402,411,420
403,352,379,399
363,311,337,360
389,271,289,311
361,268,277,292
382,213,241,258
383,167,191,208
379,172,181,193
351,154,167,176
344,73,112,131
344,66,103,116
344,61,100,111
304,54,92,93
330,56,98,97
353,60,102,106
333,60,98,95
334,71,105,98
350,61,105,108
354,56,96,101
350,76,108,102
352,169,161,141
347,230,204,176
380,349,281,234
392,416,362,316
420,516,449,394
403,578,515,460
385,576,553,513
382,577,568,541
346,612,586,556
322,586,586,571
333,597,596,584
328,596,585,575
244,614,598,584
145,580,592,586
104,603,587,579
55,597,588,578
48,596,596,589
47,605,596,585
46,602,593,585
45,573,586,589
43,556,562,566
44,581,565,561
44,535,555,559
45,545,543,545
45,541,533,533
45,550,547,541
47,575,559,549
49,592,571,555
53,591,583,572
59,593,588,578
149,583,579,572
225,654,622,606
268,629,630,621
362,603,604,605
427,567,581,592
375,544,561,572
364,590,567,562
360,554,557,556
386,493,525,539
415,283,382,435
371,166,252,321
378,141,194,250
333,63,115,164
352,52,96,129
343,50,100,118
309,50,93,101
280,48,93,94
278,48,101,101
271,47,92,95
266,48,91,87
258,49,97,97
266,47,92,95
248,46,89,84
257,46,93,91
245,47,93,96
271,48,91,87
240,48,93,88
311,48,97,102
322,52,92,94
372,57,101,97
364,136,144,130
396,302,233,192
375,385,316,261
374,522,437,369
383,575,517,452
364,588,549,499
373,594,581,546
391,615,599,575
347,611,597,579
341,627,615,600
200,603,607,593
50,539,561,558
47,566,562,558
45,560,564,561
44,545,542,540
43,554,547,544
44,501,527,532
44,512,509,510
44,502,503,504
44,469,486,495
43,459,463,470
43,443,448,450
42,415,432,442
42,426,426,429
42,404,404,408
42,414,414,415
43,461,440,425
43,489,458,437
44,494,482,468
44,500,491,477
44,518,498,481
